category,fixCount,percentage,topPattern
css-layout,49,36.3%,wrong-css-value
other,17,12.6%,undo-cosmetic-file-moves
null-reference,15,11.1%,missing-precondition-check
i18n,9,6.7%,i18n-missing-translation
load-order,8,5.9%,script-order-dependency
logic-error,7,5.2%,missing-return-statement
mobile-compat,6,4.4%,missing-responsive-breakpoint
error-handling,5,3.7%,unhandled-exception
async-timing,5,3.7%,missing-await
test-failure,4,3%,test-issue
build-config,4,3%,wrong-asset-path
api-contract,4,3%,api-contract-issue
dom-mutation,2,1.5%,innerhtml-destroys-handlers
