fileA,fileB,coChangeCount,strength
public/static/data/sentinel-history.json,public/static/data/sentinel-report.json,23,strong
pipeline/keyframes/keyframe-manifest.json,pipeline/keyframes/review.html,10,moderate
.mycelium/eval.json,.mycelium/memory.json,10,moderate
memory.json,public/static/data/sentinel-history.json,10,moderate
memory.json,public/static/data/sentinel-report.json,10,moderate
public/static/data/sentinel-history.json,public/static/data/showcase-live.json,8,moderate
.mycelium/eval-history.json,.mycelium/eval.json,8,moderate
.mycelium/eval-history.json,.mycelium/memory.json,8,moderate
bin/ai.cjs,package.json,7,weak
EFFICIENCY.md,bin/ai.cjs,7,weak
public/guild/brightinside/assets/paradox-emblem.webp,public/guild/brightinside/assets/paradox-lockup.webp,7,weak
public/static/data/sentinel-report.json,public/static/data/showcase-live.json,7,weak
.mycelium/eval.json,public/static/data/showcase-live.json,7,weak
.mycelium/memory.json,public/static/data/showcase-live.json,7,weak
public/static/data/showcase-live.json,scripts/generate-showcase-data.cjs,7,weak
public/battle.html,public/static/data/sentinel-history.json,7,weak
public/battle.html,public/static/data/sentinel-report.json,7,weak
.mycelium/memory.json,package.json,6,weak
.mycelium/memory.json,bin/ai.cjs,6,weak
.mycelium/memory.json,CLAUDE.md,6,weak
.mycelium/eval-history.json,public/static/data/showcase-live.json,6,weak
memory.json,public/static/data/showcase-live.json,6,weak
gitwise.cjs,memory.json,6,weak
memory.json,nw-memory.cjs,6,weak
public/static/data/sentinel-history.json,public/static/nw-battle-engine.js,6,weak
public/static/data/sentinel-report.json,public/static/nw-battle-engine.js,6,weak
EFFICIENCY.md,package.json,5,weak
PROJECT_STATE.md,public/guild/brightinside/index.html,5,weak
AI_PLAYBOOK.md,bin/ai.cjs,5,weak
README.md,docs/cinematic-pipeline.md,5,weak
README.md,pipeline/keyframes/keyframe-manifest.json,5,weak
README.md,pipeline/keyframes/review.html,5,weak
docs/cinematic-pipeline.md,pipeline/keyframes/keyframe-manifest.json,5,weak
docs/cinematic-pipeline.md,pipeline/keyframes/review.html,5,weak
pipeline/characters/character-bible.json,pipeline/keyframes/keyframe-manifest.json,5,weak
pipeline/characters/character-bible.json,pipeline/keyframes/review.html,5,weak
pipeline/keyframes/keyframe-manifest.json,pipeline/verification/verification-report.json,5,weak
pipeline/keyframes/review.html,pipeline/verification/verification-report.json,5,weak
.mycelium/eval.json,CLAUDE.md,5,weak
public/static/data/sentinel-history.json,scripts/generate-showcase-data.cjs,5,weak
.husky/post-commit,memory.json,5,weak
public/static/nw-nav.js,src/index.tsx,5,weak
.mycelium/events.jsonl,.mycelium/memory.json,4,weak
PROJECT_STATE.md,bin/ai.cjs,4,weak
.mycelium/memory.json,AI_PLAYBOOK.md,4,weak
public/ai-assets.html,public/coin-shop.html,4,weak
public/ai-assets.html,public/kintsugi.html,4,weak
public/coin-shop.html,public/kintsugi.html,4,weak
public/showcase.html,public/static/data/showcase-live.json,4,weak
.mycelium/eval-history.json,CLAUDE.md,4,weak
.mycelium/eval.json,.mycelium/fix-log.json,4,weak
.mycelium/fix-log.json,.mycelium/memory.json,4,weak
.nw-eval-result.json,memory.json,4,weak
.nw-eval-result.json,public/static/data/showcase-live.json,4,weak
memory.json,nw-fixer.cjs,4,weak
memory.json,scripts/generate-showcase-data.cjs,4,weak
public/static/data/sentinel-report.json,scripts/generate-showcase-data.cjs,4,weak
.husky/post-commit,nw-memory.cjs,4,weak
gitwise.cjs,nw-memory.cjs,4,weak
CLAUDE.md,memory.json,4,weak
public/battle.html,public/static/nw-battle-engine.js,4,weak
public/claim.html,public/events.html,4,weak
.ai-files-auto.txt,public/tabletop.html,4,weak
.mycelium/events.jsonl,package.json,3,weak
.gitignore,package.json,3,weak
EFFICIENCY.md,bin/session-scorecard.cjs,3,weak
bin/ai.cjs,bin/session-scorecard.cjs,3,weak
bin/session-scorecard.cjs,package.json,3,weak
public/guild/brightinside/assets/md-reveal.webp,public/guild/brightinside/assets/reg-reveal.webp,3,weak
FORGE-DOCTRINE.md,TASTE.md,3,weak
FORGE-DOCTRINE.md,bin/ai.cjs,3,weak
TASTE.md,bin/ai.cjs,3,weak
.mycelium/memory.json,EFFICIENCY.md,3,weak
PROJECT_STATE.md,public/guild/brightinside/assets/paradox-emblem.webp,3,weak
PROJECT_STATE.md,public/guild/brightinside/assets/paradox-lockup.webp,3,weak
public/guild/brightinside/assets/paradox-emblem.webp,tools/asset-alpha-lint.py,3,weak
public/guild/brightinside/assets/paradox-lockup.webp,tools/asset-alpha-lint.py,3,weak
public/static/data/pinforge-stocks.json,public/stock/index.html,3,weak
public/invest.html,public/stock/index.html,3,weak
.mycelium/memory.json,mycelium.cjs,3,weak
README.md,pipeline/characters/character-bible.json,3,weak
docs/cinematic-pipeline.md,pipeline/characters/character-bible.json,3,weak
pipeline/characters/character-bible.json,pipeline/verification/verification-report.json,3,weak
public/markets.html,public/static/data/sentinel-history.json,3,weak
public/markets.html,public/static/data/sentinel-report.json,3,weak
.husky/pre-commit,CLAUDE.md,3,weak
.mycelium/eval.json,scripts/generate-showcase-data.cjs,3,weak
.mycelium/memory.json,scripts/generate-showcase-data.cjs,3,weak
public/showcase.html,scripts/generate-showcase-data.cjs,3,weak
