file,breakCount,lessonCount,constraintCount,escalated,volatile
"public/battle.html",25,3,10,1,1
"public/static/data/showcase-live.json",23,2,3,1,0
"public/cards.html",22,2,10,1,1
"public/static/nw-battle-engine.js",21,3,10,1,1
"CLAUDE.md",21,1,4,1,0
"mycelium.cjs",19,1,1,1,0
"public/static/battle-v7.css",18,1,10,1,0
"public/static/nw-battle-v7.js",18,1,10,1,0
"bin/mycelium.cjs",17,2,0,1,0
"mycelium-watch.cjs",17,2,0,1,0
"public/wallet.html",16,1,2,1,1
"README.md",16,2,0,1,0
"public/showcase.html",16,2,0,1,0
"public/static/nw-battle-assist.js",16,2,10,1,0
"public/static/nw-battle-coach.js",16,2,10,1,0
"public/static/nw-battle-juice.js",16,2,10,1,0
"tools/mycelium-auto-mine.cjs",16,2,0,1,0
"tools/mycelium-miner.cjs",16,2,0,1,0
"public/merch.html",15,1,2,1,1
"public/static/nw-wallet.js",13,2,8,1,0
"tests/run-tests.cjs",13,2,0,1,0
"public/market.html",12,2,6,1,1
"public/academy.html",12,2,0,1,1
"public/static/nw-nav.js",10,2,8,1,1
"public/collection.html",10,2,4,1,1
"public/deckbuilder.html",10,2,6,1,1
"public/static/nw-forge-engine.js",10,2,0,1,0
"public/markets.html",9,2,4,1,1
"public/static/nw-gacha-ultimate.js",9,2,0,1,0
"package.json",9,2,0,1,0
"public/forge.html",8,2,0,1,1
"public/static/forge.css",8,2,6,1,0
"backstop.config.cjs",8,2,0,1,0
"scripts/enrich-patterns.cjs",8,2,0,1,0
"scripts/preview-deploy.cjs",8,2,0,1,0
"tests/smoke-test.cjs",8,2,0,1,0
"public/wyckoff.html",7,2,1,1,1
"public/tcg.html",7,2,0,1,1
"src/routes/market-trading.ts",7,2,0,1,0
"public/my-business.html",6,1,0,1,1
"public/pvp-battle.html",6,1,10,1,1
"public/embassy.html",6,2,8,1,1
"public/profile-card.html",6,2,10,1,1
"public/index.html",6,2,7,1,1
"public/events.html",6,2,2,1,1
"public/historical-society.html",6,2,2,1,1
"src/routes/sentinel.ts",6,2,0,1,0
"public/static/forge-room-tiny.webp",6,2,0,1,0
"public/static/images/cards/thumbs/01-reggina-mythic-maplestory.webp",6,2,4,1,0
"public/static/images/cards/thumbs/mythic-01-practicing-trainee-maplestory.webp",6,2,4,1,0
"public/static/images/cards/thumbs/mythic-02-chain-undead-maplestory.webp",6,2,4,1,0
"public/static/images/cards/thumbs/mythic-03-infernal-warlord-maplestory.webp",6,2,4,1,0
"public/static/images/cards/thumbs/mythic-04-sky-sovereign-maplestory.webp",6,2,4,1,0
"public/static/images/cards/thumbs/mythic-05-paladin-reggina-maplestory.webp",6,2,4,1,0
"public/static/images/cards/thumbs/mythic-reggina-soprano.webp",6,2,4,1,0
"public/static/images/cards/thumbs/placeholder.webp",6,2,4,1,0
"public/static/images/cards/thumbs/shrine-asmongold-mythic.webp",6,2,4,1,0
"public/static/images/cards/thumbs/shrine-chat.webp",6,2,4,1,0
"public/static/images/cards/thumbs/shrine-cockroach.webp",6,2,4,1,0
"public/static/images/cards/thumbs/shrine-dr-pepper.webp",6,2,4,1,0
"public/static/images/cards/thumbs/shrine-mcconnell.webp",6,2,4,1,0
"public/static/images/cards/thumbs/shrine-react-throne.webp",6,2,4,1,0
"public/static/images/cards/thumbs/shrine-transmog.webp",6,2,4,1,0
"public/static/nw-guide.js",6,3,4,1,0
"public/business.html",5,1,0,1,1
"public/crafts.html",5,1,0,1,1
"public/jobs.html",5,1,0,1,1
"public/realestate.html",5,1,0,1,1
"public/restaurants.html",5,1,0,1,1
"public/services.html",5,1,0,1,1
"public/supermarket.html",5,1,0,1,1
"public/battle-legacy.html",5,1,10,1,1
"public/about.html",5,1,1,1,1
"public/basement.html",5,1,1,1,1
"public/breakroom.html",5,1,1,1,1
"public/buy.html",5,1,1,1,1
"public/conspiracy.html",5,1,1,1,1
"public/efficiency.html",5,1,1,1,1
"public/guide.html",5,1,5,1,1
"public/hr.html",5,1,1,1,1
"public/tabletop.html",5,1,5,1,1
"public/therapy.html",5,1,1,1,1
"public/updates.html",5,1,1,1,1
"public/claim.html",5,1,0,1,1
"public/lore.html",5,1,2,1,1
"public/treasury.html",5,1,0,1,1
"public/card-print-template.html",5,1,10,1,0
"public/static/nw-battle-autoplay.js",5,2,10,1,0
"public/static/nw-error-tracker.js",5,2,0,1,0
"public/static/nw-mint.js",5,2,0,1,0
"public/static/nw-sounds.js",5,2,0,1,0
"src/routes/health.ts",5,2,0,1,0
"src/routes/pages.ts",5,2,0,1,0
"public/_headers",5,2,0,1,0
"public/static/images/cards/thumbs/01-reggina-mythic.webp",5,2,4,1,0
"public/static/images/cards/thumbs/02-reggino-legendary.webp",5,2,4,1,0
"public/static/images/cards/thumbs/27-elder-dragon.webp",5,2,4,1,0
"public/static/images/cards/thumbs/common-1star-review.webp",5,2,4,1,0
"public/static/images/cards/thumbs/common-afk-spot.webp",5,2,4,1,0
"public/static/images/cards/thumbs/common-auto-battle.webp",5,2,10,1,0
"public/static/images/cards/thumbs/common-charging-cable.webp",5,2,4,1,0
"public/static/images/cards/thumbs/common-connection-lost.webp",5,2,8,1,0
"public/static/images/cards/thumbs/common-cracked-phone.webp",5,2,4,1,0
"public/static/images/cards/thumbs/common-daily-login.webp",5,2,4,1,0
"public/static/images/cards/thumbs/common-expired-coupon.webp",5,2,4,1,0
"public/static/images/cards/thumbs/common-free-summon.webp",5,2,4,1,0
"public/static/images/cards/thumbs/common-guild-chat.webp",5,2,4,1,0
"public/static/images/cards/thumbs/common-limited-banner.webp",5,2,4,1,0
"public/static/images/cards/thumbs/common-loading-tip.webp",5,2,4,1,0
"public/static/images/cards/thumbs/common-loot-pile.webp",5,2,4,1,0
"public/static/images/cards/thumbs/common-maintenance-comp.webp",5,2,4,1,0
"public/static/images/cards/thumbs/common-newbie-zone.webp",5,2,4,1,0
"public/static/images/cards/thumbs/common-notification.webp",5,2,8,1,0
"public/static/images/cards/thumbs/common-salt-shaker.webp",5,2,4,1,0
"public/static/images/cards/thumbs/common-skip-button.webp",5,2,4,1,0
"public/static/images/cards/thumbs/common-spawn-point.webp",5,2,4,1,0
"public/static/images/cards/thumbs/common-the-void.webp",5,2,4,1,0
"public/static/images/cards/thumbs/common-tiny-crown.webp",5,2,4,1,0
"public/static/images/cards/thumbs/common-unread-messages.webp",5,2,4,1,0
"public/achievements.html",4,1,6,1,1
"public/confessional.html",4,1,4,1,1
"public/parking.html",4,1,6,1,1
"public/avatar-studio.html",4,1,4,1,1
"public/admin-physical.html",4,1,0,1,1
"public/avatar-builder.html",4,1,0,1,1
"public/card-lab.html",4,1,10,1,1
"public/cipher.html",4,1,0,1,1
"public/citizenship.html",4,1,0,1,1
"public/court.html",4,1,0,1,1
"public/fortune.html",4,1,0,1,1
"public/fusion.html",4,1,4,1,1
"public/intelligence.html",4,1,0,1,1
"public/invest.html",4,1,0,1,1
"public/nwg-shop.html",4,1,0,1,1
"public/research.html",4,1,0,1,1
"public/restaurant.html",4,1,0,1,1
"public/tournament.html",4,1,0,1,1
"public/vault.html",4,1,0,1,1
"public/zakum.html",4,1,0,1,1
"public/museum.html",3,1,0,1,1
"public/staking.html",3,1,0,1,1
"public/static/battle.css",3,1,10,1,1
"public/ai-lounge.html",3,2,0,1,1
"public/menu-demo.html",3,2,0,1,1
"public/regina.html",3,2,0,1,1
